breakdown_type,breakdown_value,candidate_name,share_pct
overall,all,이재명,51.7
overall,all,김문수,39.3
overall,all,이준석,7.7
overall,all,권영국,1.3
sex,남성,이재명,48.3
sex,남성,김문수,39.4
sex,남성,이준석,11.1
sex,여성,이재명,55.1
sex,여성,김문수,39.2
sex,여성,이준석,4.3
age,18-29,이재명,41.3
age,18-29,김문수,30.9
age,18-29,이준석,24.3
age,30-39,이재명,47.6
age,30-39,김문수,32.7
age,30-39,이준석,17.7
age,40-49,이재명,72.7
age,40-49,김문수,22.2
age,40-49,이준석,4.2
age,50-59,이재명,69.8
age,50-59,김문수,25.9
age,50-59,이준석,3.3
age,60-69,이재명,48.0
age,60-69,김문수,48.9
age,60-69,이준석,2.3
age,70+,이재명,34.0
age,70+,김문수,64.0
age,70+,이준석,1.5
