orient,age,n_total,C_L3_이재명_pct,C_L3_김문수_pct,C_L3_이준석_pct,C_base_이재명_pct,C_base_김문수_pct,C_base_이준석_pct,C_bns_이재명_pct,C_bns_김문수_pct,C_bns_이준석_pct,C_pv_이재명_pct,C_pv_김문수_pct,C_pv_이준석_pct,C_full_이재명_pct,C_full_김문수_pct,C_full_이준석_pct
VP,18-29,39,100.0,0.0,0.0,100.0,0.0,0.0,97.44,2.56,0.0,100.0,0.0,0.0,94.87,2.56,2.56
VP,30-39,29,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
VP,40-49,49,100.0,0.0,0.0,100.0,0.0,0.0,95.92,4.08,0.0,100.0,0.0,0.0,97.96,2.04,0.0
VP,50-59,37,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
VP,60-69,34,100.0,0.0,0.0,100.0,0.0,0.0,94.12,5.88,0.0,100.0,0.0,0.0,97.06,2.94,0.0
VP,70+,36,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
P,18-29,192,100.0,0.0,0.0,98.96,0.0,1.04,98.44,1.56,0.0,97.92,1.04,1.04,98.96,1.04,0.0
P,30-39,211,100.0,0.0,0.0,100.0,0.0,0.0,99.53,0.47,0.0,99.53,0.47,0.0,98.58,0.47,0.95
P,40-49,223,100.0,0.0,0.0,98.65,0.45,0.9,95.96,3.14,0.9,99.1,0.45,0.45,98.21,0.9,0.45
P,50-59,207,100.0,0.0,0.0,99.03,0.97,0.0,96.14,3.38,0.48,100.0,0.0,0.0,97.1,2.42,0.48
P,60-69,142,100.0,0.0,0.0,100.0,0.0,0.0,96.48,3.52,0.0,99.3,0.0,0.7,97.89,2.11,0.0
P,70+,101,100.0,0.0,0.0,99.01,0.99,0.0,97.03,1.98,0.99,100.0,0.0,0.0,97.03,1.98,0.99
M,18-29,372,100.0,0.0,0.0,90.05,7.26,2.69,79.03,17.2,3.49,84.68,12.9,2.42,80.65,16.67,2.69
M,30-39,410,100.0,0.0,0.0,81.95,15.12,2.93,76.34,20.49,3.17,83.17,12.93,3.66,72.44,23.66,3.9
M,40-49,410,100.0,0.0,0.0,83.17,12.68,4.15,76.59,20.24,3.17,85.85,11.22,2.93,76.1,19.27,4.39
M,50-59,435,100.0,0.0,0.0,84.6,13.1,2.3,74.48,22.3,2.99,81.15,16.09,2.76,77.24,20.69,2.07
M,60-69,421,100.0,0.0,0.0,84.56,13.54,1.9,76.25,21.14,2.61,82.9,15.44,1.66,72.21,26.13,1.66
M,70+,352,100.0,0.0,0.0,93.18,5.97,0.85,76.7,22.16,0.85,90.91,7.67,1.42,75.57,23.01,0.57
C,18-29,101,100.0,0.0,0.0,4.95,65.35,29.7,8.91,68.32,22.77,0.99,73.27,25.74,7.92,70.3,21.78
C,30-39,107,99.07,0.93,0.0,3.74,83.18,13.08,7.48,84.11,8.41,5.61,86.92,7.48,9.35,81.31,9.35
C,40-49,153,100.0,0.0,0.0,3.92,90.2,5.88,9.8,84.31,5.88,4.58,83.66,11.76,5.88,91.5,2.61
C,50-59,211,100.0,0.0,0.0,5.69,85.78,8.53,7.11,89.1,3.79,4.27,85.31,10.43,10.9,82.94,6.16
C,60-69,248,99.6,0.4,0.0,7.26,83.47,9.27,9.27,85.08,5.65,8.87,81.85,9.27,8.87,84.27,6.85
C,70+,180,99.44,0.56,0.0,8.89,85.56,5.56,17.22,81.11,1.67,11.67,82.78,5.56,15.0,83.33,1.67
VC,18-29,15,100.0,0.0,0.0,0.0,86.67,13.33,0.0,93.33,6.67,0.0,93.33,6.67,0.0,93.33,6.67
VC,30-39,17,100.0,0.0,0.0,0.0,94.12,5.88,0.0,100.0,0.0,0.0,94.12,5.88,0.0,94.12,5.88
VC,40-49,27,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,96.3,3.7,0.0,100.0,0.0
VC,50-59,46,100.0,0.0,0.0,0.0,95.65,4.35,0.0,100.0,0.0,0.0,100.0,0.0,2.17,95.65,2.17
VC,60-69,98,100.0,0.0,0.0,0.0,96.94,3.06,0.0,100.0,0.0,0.0,94.9,5.1,0.0,98.98,1.02
VC,70+,97,100.0,0.0,0.0,1.03,98.97,0.0,1.03,98.97,0.0,0.0,98.97,1.03,0.0,98.97,1.03
